ID,Nom,EtatActuel,Date Debut,Date Fin
1,kamoudi,En cours,2025-01-01,2025-06-30
2,Projet Beta,Terminé,2024-07-01,2024-12-31
15,nouha,En cours,2025-05-01,2025-05-30
4,Nefzi007,En cours,2025-05-01,2025-05-30
5,mahdi,En cours,2025-05-01,2025-05-30
6,firas,Terminé,2025-05-01,2025-05-31
7,aziz,Terminé,2025-05-01,2025-05-31
8,gharbi,En cours,2025-05-01,2025-05-31
9,oussema,Terminé,2025-05-01,2025-05-31
10,achref,Terminé,2025-05-01,2025-05-02
11,amira,Terminé,2025-05-01,2025-05-30
12,safa,Terminé,2025-05-01,2025-05-31
13,salsso,Terminé,2025-05-01,2025-05-31
14,Wissem,En cours,2025-05-01,2025-05-31
16,Nefzi,Terminé,2025-05-30,2025-06-07
17,nnn,En pause,2025-05-14,2025-05-30
18,hazem,Terminé,2025-05-14,2025-05-30
19,nnnnnnnnn,En cours,2025-05-22,2025-05-31
20,kkkkk,En pause,2025-05-14,2025-05-22
22,Nefzi007,Terminé,2025-05-15,2025-05-24
